Episode Number,Total Reward,Running Average,p,i,d,joint index
133,-2.554356839268475,-7.090235139053702,8554.7763671875,9.861547596301534e-07,89.91130065917969,1
134,-2.5525632185781504,-7.0448584198489455,8791.7646484375,9.861547596301534e-07,89.0455551147461,1
135,-2.552301447802467,-6.999932850128481,8984.1318359375,9.861547596301534e-07,88.36511993408203,1
136,-2.551228838569267,-6.955445810012889,9027.8486328125,9.861547596301534e-07,89.46592712402344,1
137,-2.553108950531584,-6.911422441418076,9107.978515625,9.861585112957982e-07,89.71151733398438,1
138,-2.550752567022749,-6.867815742674123,9171.888671875,9.861585112957982e-07,89.86539459228516,1
139,-2.5490194851935404,-6.824627780099317,9287.521484375,9.861585112957982e-07,89.78363037109375,1
140,-2.5504699602379945,-6.781886201900704,9365.4892578125,9.861585112957982e-07,90.07982635498047,1
141,-2.549979546174098,-6.739567135343438,9454.619140625,9.861585112957982e-07,90.4614486694336,1
142,-2.5485540576755845,-6.697657004566759,9477.947265625,9.861519174592104e-07,91.42121887207031,1
143,-2.5484300585782917,-6.656164735106874,9580.67578125,9.861576018010965e-07,91.02589416503906,1
144,-2.547983315787952,-6.615082920913684,9825.8310546875,9.861670378086274e-07,90.53821563720703,1
145,-2.548291836764231,-6.574415010072189,9895.3154296875,9.861670378086274e-07,90.49346923828125,1
146,-2.5469887301841525,-6.53414074727331,10017.564453125,9.861670378086274e-07,90.1987075805664,1
147,-2.5469025848241755,-6.494268365648819,10057.6259765625,9.861670378086274e-07,90.9216537475586,1
148,-2.5457345281323382,-6.454783027273654,10354.52734375,9.861670378086274e-07,90.97157287597656,1
149,-2.5454397250128484,-6.415689594251046,10571.8916015625,9.861585112957982e-07,91.18855285644531,1
150,-2.543135618637573,-6.376964054494911,10855.8515625,9.861679473033291e-07,90.83958435058594,1
151,-2.543793524206178,-6.338632349192023,10976.046875,9.86164309324522e-07,90.31279754638672,1
152,-2.543069324076717,-6.300676718940871,10955.0791015625,9.861604439720395e-07,90.84019470214844,1
153,-2.5429421187023826,-6.263099372938486,11006.2763671875,9.861754506346188e-07,90.7544174194336,1
154,-2.5433413126575912,-6.225901792335677,11162.5439453125,9.861764738161582e-07,89.84127044677734,1
155,-2.542121530248344,-6.189063989714803,11293.1123046875,9.861764738161582e-07,89.3669662475586,1
156,-2.541385116081334,-6.152587200978469,11353.0107421875,9.861726084636757e-07,89.69351196289062,1
157,-2.541699416899771,-6.116478323137682,11394.9462890625,9.861679473033291e-07,89.88240814208984,1
158,-2.541560934925215,-6.080729149255557,11465.2001953125,9.86165105132386e-07,89.77969360351562,1
159,-2.541359633679398,-6.045335454099795,11562.861328125,9.86165105132386e-07,89.51367950439453,1
160,-2.5417694022939488,-6.010299793581736,11597.12890625,9.86165105132386e-07,90.06139373779297,1
161,-2.5410297720532906,-5.975607093366452,11767.2490234375,9.86171698968974e-07,89.41577911376953,1
162,-2.5401813406890943,-5.941252835839678,11902.34765625,9.861867056315532e-07,88.85198211669922,1
163,-2.5401481449171577,-5.9072417889304525,12038.8349609375,9.861979606284876e-07,88.35546875,1
164,-2.5388800965590885,-5.873558172006739,12127.669921875,9.861979606284876e-07,88.1976547241211,1
165,-2.5384958161408173,-5.840207548448079,12129.7998046875,9.86192503660277e-07,88.75611114501953,1
166,-2.540104065316513,-5.807206513616763,12251.205078125,9.861905709840357e-07,88.54217529296875,1
167,-2.539908184189427,-5.77453353032249,12331.7705078125,9.861877288130927e-07,88.7906494140625,1
168,-2.539482707960778,-5.742183022098873,12679.0849609375,9.861877288130927e-07,87.0892333984375,1
169,-2.5376507826945733,-5.71013769970483,12964.111328125,9.8619534583122e-07,85.90281677246094,1
170,-2.5384910279491404,-5.678421232987273,13000.51171875,9.861877288130927e-07,86.64341735839844,1
171,-2.5396160666019134,-5.647033181323419,13162.302734375,9.861970511337859e-07,86.17407989501953,1
172,-2.5378317275000497,-5.615941166785186,13357.6376953125,9.86202735475672e-07,85.37317657470703,1
173,-2.5373090137359346,-5.585154845254693,13462.44140625,9.86202735475672e-07,85.14888000488281,1
174,-2.537832668934427,-5.55468162349149,13553.7373046875,9.86202735475672e-07,85.10840606689453,1
175,-2.5376690083362954,-5.524511497339938,13644.8857421875,9.862008027994307e-07,85.10098266601562,1
176,-2.5366822346345703,-5.494633204712884,13727.453125,9.861979606284876e-07,85.11896514892578,1
177,-2.536580776505854,-5.465052680430814,13775.990234375,9.861934131549788e-07,85.3987045288086,1
178,-2.5365922827370007,-5.435768076453876,13869.2685546875,9.86202735475672e-07,85.10565185546875,1
179,-2.5362871784307233,-5.406773267473644,13812.826171875,9.862018259809702e-07,85.79969024658203,1
180,-2.5372240476076793,-5.378077775274985,13935.1884765625,9.862018259809702e-07,85.42546081542969,1
181,-2.537223372288438,-5.3496692312451195,13959.4775390625,9.86199893304729e-07,85.6334228515625,1
182,-2.5353963295398647,-5.321526502228068,14231.314453125,9.862064871413168e-07,85.45639038085938,1
183,-2.5355595731388854,-5.293666832937176,14625.59765625,9.86208419817558e-07,84.47875213623047,1
184,-2.535609365222059,-5.2660862582600245,14885.044921875,9.86208419817558e-07,84.51972198486328,1
185,-2.534286420051013,-5.238768259877935,15426.6259765625,9.86208419817558e-07,84.34588623046875,1
186,-2.535625986307562,-5.21173683714223,15647.3701171875,9.862036449703737e-07,84.56378936767578,1
187,-2.534789754235845,-5.184967366313167,15799.4501953125,9.862036449703737e-07,84.14274597167969,1
188,-2.535113761915892,-5.158468830269195,15621.4423828125,9.861970511337859e-07,85.32275390625,1
189,-2.534906316546545,-5.132233205131968,15606.1650390625,9.861943226496805e-07,85.63566589355469,1
190,-2.534418865649078,-5.106255061737139,15594.55859375,9.862093293122598e-07,85.78697204589844,1
191,-2.5345666029254037,-5.0805381771490215,15643.208984375,9.862093293122598e-07,85.68116760253906,1
192,-2.535204237346771,-5.055084837750999,15828.630859375,9.862244496616768e-07,84.8245620727539,1
193,-2.534748005712749,-5.029881469430617,15879.1455078125,9.862244496616768e-07,84.7945556640625,1
194,-2.534577338376339,-5.004928428120073,16112.1875,9.862469596555457e-07,83.7785415649414,1
195,-2.535026110639187,-4.9802294049452644,16129.2216796875,9.862535534921335e-07,83.91239929199219,1
196,-2.534869001014909,-4.95577580090596,16191.83984375,9.862498018264887e-07,83.83416748046875,1
197,-2.5328014378186903,-4.931546057275087,16357.412109375,9.862526439974317e-07,83.24596405029297,1
198,-2.533348441735958,-4.907564081119696,16501.861328125,9.862526439974317e-07,82.89710998535156,1
199,-2.533162589189188,-4.88382006620039,16676.708984375,9.862526439974317e-07,82.51011657714844,1
200,-2.532878733057703,-4.860310652868963,16898.68359375,9.862600336418836e-07,81.72698211669922,1
201,-2.534314062753799,-4.837050686967811,16983.6015625,9.862808383331867e-07,81.43701171875,1
202,-2.533759506128259,-4.8140177751594155,16934.80859375,9.862798151516472e-07,81.78826904296875,1
203,-2.534465494612893,-4.7912222523539505,17081.615234375,9.862967544904677e-07,81.27218627929688,1
204,-2.534078376403525,-4.768650813594446,17083.0,9.86293002824823e-07,81.38996124267578,1
205,-2.533009309298639,-4.746294398551488,17127.943359375,9.86293002824823e-07,81.36539459228516,1
